Restaurant Name,Most Popular Category,Rating,Cost for two,Area,Locality,Address,Veg,Long Distance Delivery
Biryani By Kilo,Biryani,4.1,600,Khare Town,Dharampeth,"Commercial First Floor, F1 & F2 INDU YASH II, 186, Dharampeth Extn, Ramnagar Square, Nagpur",FALSE,0
Haldirams Sweets & Namkeen,Multi-cuisine,4.6,300,Sitabuldi,SITABULDI,"ABHYANKAR ROAD, SITABULDI,NAGPUR",FALSE,0
Pind Punjabi,North Indian,3.3,200,Loha Pul,"Loha Pul, Pind","Shree Ganesh Bhojnalay, Manas Chowk, Sahu Colony, Sitabuldi, Nagpur, Maharashtra",TRUE,0
Behrouz Biryani,Biryani,3.9,500,Sadar,"Azad Chowk, Near Gandhi Chowk","Faasos, Plot No. 227 1, Azad Chowk, Near Gandhi Chowk, Opp Kachara Ghar, Sadar, Nagpur, 440001",FALSE,0
Jay Ambika Bhojnalay,North Indian,4,300,Ganeshpeth Colony,Gandhibagh,Shop no13 opp. Rahul hotel Ganeshpeth bus stand,TRUE,0
Foody Moody Thali,Thali,3.4,200,Loha Pul,"Loha Pul, Foody","Shree Ganesh Bhojnalay, Manas Chowk, Sahu Colony, Sitabuldi, Nagpur, Maharashtra",FALSE,0
Subway,Fast Food,4.1,350,Khare Town,Dharampeth,"G2, Indu Yash Complex, Cement Road, Ramnagar, Near, Dharampeth, Nagpur",FALSE,0
KFC,Fast Food,3.9,400,Sitabuldi,"Ground Floor, Eternity Mall, Variety Square","G1, G2, Ground Floor, Eternity Mall, Variety Square, Sitaburdi, Nagpur, Maharashtra 440010",FALSE,0
McDonald's,Fast Food,4.1,400,Medical Square,Trillum Mall,"Restaurant no 3, 3rd Floor, Trillum mall, Ram Bag Layout, Untkhana Road, Nagpur, 440003",FALSE,0
Babbu Hotel,Biryani,3.7,300,Mominpura,Gandhibagh,"Near Bakra Mandi, Mominpura Chowk, Mominpura, Nagpur",FALSE,0
Biryani Story,Biryani,2.8,200,Loha Pul,"Loha Pul, Biryani Story","Shree Ganesh Bhojnalay, Manas Chowk, Sahu Colony, Sitabuldi, Nagpur, Maharashtra",FALSE,0
Mullaji Zillah Biryani Center,Biryani,4.1,250,Sadar,Sadar,"SHOP NO 52 MINI MANGALWARI BAJAR COMPLEX SADAR , District - Nagpur-1, STATE - Maharashtra - 440001",FALSE,0
Burger Singh (Big Punjabi Burgers),Fast Food,4,300,Laxminagar,Shradhanand Peth,"Plot no 122, Ambazari Road, Shradhanand peth, Opposite to Tanishq Jewellery Showroom, Nagpur-440010",FALSE,0
The Smoked Biryani,Biryani,3,200,Loha Pul,"Loha Pul, Smoked","Shree Ganesh Bhojnalay, Manas Chowk, Sahu Colony, Sitabuldi, Nagpur, Maharashtra",FALSE,0
Moti Mahal Delux,North Indian,4.1,350,Sitabuldi,Cotton Market,"COTTON MARKET CHOWK, NAGPUR, - 440012",FALSE,0
Al Zam Zam,North Indian,3.8,300,Vivekanand Nagar,Vivekanand Nagar,"Shop No. G3, Laxmidas Appt., Besides Sai Mandir, Wardha Rd, Nagpur, Maharashtra 440015",FALSE,0
Shree Ganesh Bhojnalaya,North Indian,2.5,200,Loha Pul,"Loha Pul, Ganesh","Shree Ganesh Bhojnalay, Manas Chowk, Sahu Colony, Sitabuldi, Nagpur, Maharashtra",FALSE,0
Taste of Biryani,North Indian,2.7,200,Loha Pul,"Loha Pul, Biryani","Shree Ganesh Bhojnalay, Manas Chowk, Sahu Colony, Sitabuldi, Nagpur, Maharashtra",FALSE,0
Krishnum Restaurant,Multi-cuisine,3.9,200,Mominpura,CA road,"CA ROAD, CENTRAL AVENUE , GANDHIBAGH",FALSE,0
Barbeque Nation,Multi-cuisine,3.9,600,Sitabuldi,"Amravati Rd, Eternity Mall","2nd Floor Eternity Mall, Amravati Rd, Variety Square, Sitabuldi, Nagpur, Maharashtra 440012",FALSE,0
Calcutta Roll Center,Fast Food,3.8,250,Chhaoni,Sadar,"Achraj Tower, Katol Road, Sadar, Nagpur",FALSE,0
UBQ by Barbeque Nation,Multi-cuisine,3.9,300,Sitabuldi,NAGPUR,"Unit - K1 to FC- 6, 2nd floor, eternity mall, verity chowk, nagpur-440024",FALSE,0
Sangam Restaurant,Multi-cuisine,4.2,400,Medical Square,medical square,"Medical Square, Near IO Petrol Pump.",FALSE,0
Taste Of Indore,North Indian,4,70,Sitabuldi,Sitabuldi,"Mahajan Market Road, Sitabuldi, Nagpur",TRUE,0
Corridor Seven Coffee Roasters,Multi-cuisine,4.5,500,Sitabuldi,Sitabuldi,"86, Mahajan Market, Behind Ketkar Hospital, Sitabuldi, Nagpur 440012, District - Nagpur-1, STATE - Maharashtra -  440012",FALSE,0
Babbu's Food Plaza,Multi-cuisine,3.7,250,Civil Lines,Sadar,"VCA stadium, civil lines",FALSE,0
Pizza Hut,Pizza,3.2,300,Sitabuldi,"1st Flr, Eternity Mall, Variety Square","SN F1 & F2, 1st Flr, Eternity Mall, Variety Square, Sitabuldi, Nagpur, Maharashtra 440012",FALSE,0
Gulshan Plaza,Multi-cuisine,3.5,400,Sitabuldi,Sitabuldi,in front of zero miles metro station near sitabuldi,FALSE,0
Rolls Mania,Fast Food,4,200,Pratap Nagar,"Shewalkar Garden, Gopal Nagar","Shop 32, Upper Ground Floor, Shewalkar Gardens, Opposite Reliance Fresh, Gopal Nagar, Pratap Nagar, Nagpur",FALSE,0
Shankar Bhojnalaya (Pure Veg),Thali,3.3,200,Lokmat Chowk,"Lokmat Chowk, Shankar","Lokmat Square, Dhantoli, Nagpur, Maharashtra 440012, India",TRUE,0
Haldiram's Thaat Baat Restaurant,Multi-cuisine,4,300,Sitabuldi,Sitabuldi,"Abhyankar Road, Sitabuldi, Nagpur",TRUE,0
Saoji Jagdish Bhojnalaya,Maharashtrian,3.3,400,Gandhibagh,Gandhibagh,"Subhash Road, Ganesh Peth, Gandhibagh, Nagpur",FALSE,0
Anand Bakery,Bakery,4.3,200,Sitabuldi,Sitabuldi,"Main Road, Sitabuldi, Nagpur,Sitabuldi,Nagpur",FALSE,0
Haldiram's Planet Food,Multi-cuisine,4.3,300,Sitabuldi,Munje Chowk,"Abhyankar Marg, Munje Chowk, Sitabuldi, Nagpur, Maharashtra 440012",TRUE,0
SAI CHINESE CENTER,Chinese,4,150,Nandanvan,Nandanvan,"IMAMWADA, LONGMARCH CHOWK, GHAT ROAD, NAGPUR 440003",TRUE,0
Shree Ganesh Sagar,Multi-cuisine,3.9,600,Dhantoli,Dhantoli,"B 2/5 Saraf Court, Opposite Yashwant Stadium, Dhantoli, Nagpur",TRUE,0
Pizza Ever,Pizza,3.1,300,Mahal,Mahal,"Mahal,gujarwada,beside matru seva Sangh, near navyug Vidyalaya,Arnolds gym,near ganesh Mandir",TRUE,0
Singh's - Dhantoli,Multi-cuisine,4.1,500,Dhantoli,Dhantoli,"Shop 6 & 7, Yashwant Stadium, Near Patwardhan Ground, Dhantoli, Nagpur",FALSE,0
Novelty Pure Veg Restaurant,North Indian,3.9,300,Cotton Market,Gandhibagh,"Opposite Chandralok Building, C.A Road, Gandhibagh, Nagpur",TRUE,0
Krishnum Food Plaza,Multi-cuisine,3.8,200,Sadar,Sadar,"Mount Road, Sadar, Nagpur",FALSE,0
Miki Momos,Fast Food,4,300,Sitabuldi,Sitabuldi,"26, Central Park Rd, Godhni, Dhantoli, Nagpur, Maharashtra 440012, India",FALSE,0
Vina Vihar,Fast Food,4.1,300,Dhantoli,Sitabuldi,Vina vihar Shankar bhawan mehadiya Chowk Dhantoli  nagpur,TRUE,0
Checkers,Multi-cuisine,4.3,300,Sadar,Sadar,"Shop No.13-17 SJTI Complex, Residency Rd, Sadar, Nagpur, Maharashtra 440001, India",FALSE,0
Paratha Shop,North Indian,4.2,250,Sadar,Sadar,"Guman Building, Residency Road, Sadar, Nagpur",TRUE,0
FSB,Multi-cuisine,4.1,500,Dhantoli,Dhantoli,"B/9, Orange City Towers, Opposite Tilak Patrakar Bhavan, Dhantoli, Nagpur",FALSE,0
RasKunj,Beverages,4.3,250,Ramdaspeth,Ramdaspeth,"Panchsheel Building, Ramdaspeth, Nagpur",TRUE,0
Kwality Walls Frozen Dessert and Ice Cream Shop,Desserts,4.7,300,Ganeshpeth Colony,Gandhibagh,"FLAVOURS: HOUSE NO 741/A, NEAR DR.AKARE, MODEL MILL GATE, GANESHPETH, NAGPUR, MAHARASHTRA-440018",FALSE,0
Mom's Maggy mania,Fast Food,4,180,Sitabuldi,Sitabuldi,"527, Sitabuldi, Nagpur, Maharashtra 440012, India",FALSE,0
Shabana Bakery,Bakery,4,250,Byramji Town,Byramji Town,"36, Koradi Rd, Byramji Town, Nagpur",FALSE,0
TDS Restro Lounge,Multi-cuisine,3.7,1200,Sitabuldi,Sitabuldi,"12, Farmland, Milestone Building, 5th floor, Shop No. 16, Ramdaspeth, Wardha Road, Nagpur, District - Nagpur-1, STATE - Maharashtra",FALSE,0
Fuel Station Cafe & Restro,Fast Food,3.9,250,Ramdaspeth,Shankar Nagar Square,"Kamlakar Palace, Opposite NIT Garden, Shankar Nagar Square, Nagpur",FALSE,0
SardaarJi,North Indian,4.1,300,Sitabuldi,Sitabuldi,"Shop no. 14-19, Pushpakunj Commercial Complex, Near Center Point Hotel, Central Bazar Road, Ramdaspeth, Nagpur 440010",FALSE,0
Dinshaw's Icecream - Tatabaugh,Desserts,4.4,300,Gandhibagh,"Gandhibagh, Tatabagh","HOUSE NO. 6/A, NEAR TATA PARSI HIGH SCHOOL, OPP. SHUKRAWARI TALAV, NAGPUR",TRUE,0
Pizzaland,Pizza,4,300,Sitabuldi,Sitabuldi,"Amarjyoti Complex, Chitale Marg, Lokmat Square, Ramdaspeth, Nagpur, Maharashtra 440012, India",TRUE,0
